F0010001A2007_1_07,人惡人怕天毋怕人善人欺天不欺
F0010001A2007_10_07,等得月出日落西
F0010001A2007_100_07,撙水年下仔查核成下仔處分上站仔
F0010001A2007_101_07,鑊頭搭烏蠅酒娘鉛線仔發酵尿裙仔
F0010001A2007_102_07,排桌乳珠仔伙頭牙确仔籠床嗶嗶仔
F0010001A2007_103_07,膨鏡討功勞笠嫲偎大片閂門惜過頭
F0010001A2007_104_07,柵門心肝仔籬笆轉外家籮仔命團仔
F0010001A2007_105_07,後生人最驚老人家噥講著成績
F0010001A2007_106_07,老弟同頭名全全比毋得比該尾名就還較得
F0010001A2007_107_07,巴掌嫲盪啊過去這事頭你總包起來
F0010001A2007_108_07,屋下恁多人會同你𢯭做毋使驚
F0010001A2007_109_07,交官結府大大細細大主大意動手動腳
F0010001A2007_11_07,人心節節高料字寫成科
F0010001A2007_110_07,漦漦濞濞先號先贏先走先贏相打泌背
F0010001A2007_111_07,係食著毋合肚个東西會噎酸阿玲玩具搞忒無收揫
F0010001A2007_112_07,害厥姆躪著跌到四腳惹天
F0010001A2007_113_07,緊講話又緊掞腳當無禮貌
F0010001A2007_114_07,當多蚊仔在若胠罅下蒐啊蒐仔愛叼你還毋遽遽走
F0010001A2007_115_07,天頂个星宿恁多你識幾多粒
F0010001A2007_116_07,滿叔个性體當好又當熱心毋過佢係一個呱牯
F0010001A2007_117_07,佢係發性起來麼人个話都毋聽
F0010001A2007_118_07,這豬油放忒久鼻起來當臭油垢怕係壞忒哩
F0010001A2007_119_07,五月節鹿港有辦划龍船比賽參詳事情愛講道理
F0010001A2007_12_07,良言一句三冬暖惡語傷人六月寒
F0010001A2007_120_07,係橫橫擎定著毋會有結果
F0010001A2007_121_07,這餅仔恁燥無傍茶吞毋落胲毋好煮恁多
F0010001A2007_122_07,屋下淨兩儕人食毋去倒忒當打爽
F0010001A2007_123_07,佢毋曉得使筷仔挾毋著菜來食
F0010001A2007_124_07,阿義个手目毋堵好參著嗄㪐腕實在還衰哦
F0010001A2007_125_07,姐婆个大聲胲遠遠就聽得著雨落忒多做大水
